date,user_id,department_id,shift,category,severity,text,actions,date_resolved,status
7/27/2026,37f3118a-7132-47da-a008-c5b2976e1bff,44344ef9-2722-47ce-bc1c-3e9d224ca8ff,-,Staffing / Attendance,High,Juana out this week medical reasons,[],7/27/2026,Resolved
6/22/2026,3ef94c1d-6d70-4722-a667-33b08990b381,adcd82c2-ddbf-4189-841c-0221ab669922,-,Staffing / Attendance,High,3 people are absent in mark in for various reasons so I offered to stay and help mark in for at least 3 hours or as needed,[],6/22/2026,Resolved
5/3/2026,201912ce-f2b9-445a-8112-9f63229cd484,adcd82c2-ddbf-4189-841c-0221ab669922,-,Staffing / Attendance,High,"Zar contacted me to inform me that an order 26121-0573 had been changed to Rush for Monday. Since the order had been placed in the bin as usual, the garments were located and moved to the Rush bin.",[],5/3/2026,Resolved
4/28/2026,201912ce-f2b9-445a-8112-9f63229cd484,adcd82c2-ddbf-4189-841c-0221ab669922,-,Staffing / Attendance,Med,,[],4/28/2026,Resolved
4/14/2026,3ef94c1d-6d70-4722-a667-33b08990b381,eaa37ea2-ea7c-4e05-84b4-0551747ce3ce,-,Metalprogetti,Med,We need to change out a sensor on the bagger however there will be some rewiring involved that can complicate the change. We will have to wait until the day finishes early later this week so we do not impact assembly. ,[],4/14/2026,Resolved
4/10/2026,3ef94c1d-6d70-4722-a667-33b08990b381,9c151ba5-2bb4-466c-85ad-8e6bb90f05ea,-,Staffing / Attendance,Low,"Raquel left early for an appointment, notified us Wednesday ",[],4/10/2026,Resolved
4/1/2026,201912ce-f2b9-445a-8112-9f63229cd484,26d76d5a-952d-43ad-9bae-ab02ef0bee50,-,Staffing / Attendance,Low,Martina left early at 2 pm family emergency,[],4/1/2026,Resolved
3/30/2026,201912ce-f2b9-445a-8112-9f63229cd484,26d76d5a-952d-43ad-9bae-ab02ef0bee50,-,Staffing / Attendance,Low,Martina off jimmy came at 11 to cover her. ,[],3/30/2026,Resolved
3/30/2026,3ef94c1d-6d70-4722-a667-33b08990b381,b1d7e774-9b25-40ce-9a4e-59e6262315a2,-,Equipment / Maintenance,Med,Indy sent us a refill gal of Deprit 2 instead of a bottle. Emailed Katelyn,[],3/30/2026,Resolved
3/27/2026,3ef94c1d-6d70-4722-a667-33b08990b381,b6576035-2f2b-4f2f-82fa-bd7a057a608a,-,Process Deviation,High,Sara was still here working after she had clocked out for the day,[],3/27/2026,Resolved
3/27/2026,3ef94c1d-6d70-4722-a667-33b08990b381,a73dfbe3-1e93-4c2e-8a5d-0a9375d6c8b7,-,Staffing / Attendance,Med,"Karla called out today and FOH asked Karina to come in early, but did not notify Brandon or I. Edith also called out so it was only Isabel in the back while Brandon and I helped inspect and scan. Mericia is still training and not yet knowledgable in a lot of the process in the back. This caused a back up in Inspection and Assembly.",[],3/27/2026,Resolved
5/5/2026,7b9f0fa6-26fb-449b-9946-632d8c6a57a8,26d76d5a-952d-43ad-9bae-ab02ef0bee50,-,Staffing / Attendance,Low,"Today the girls checked a bag that had a delicate fabric curtain inside. I reviewed the Conru Art Foundation account, they only want the tablecloths as wash and fold.",[],5/5/2026,Resolved
9/4/2026,f9401f5c-11cd-4e00-ab74-92575d9cf6b2,a6ad3266-1504-4599-88a6-2f97a300d788,-,Equipment / Maintenance,High,"Today, while doing a load in Washer 1 at DC, I noticed that Cycle 6 only lasted 47 minutes, which was unusual. I decided to take the clothes out and transfer them to Washer 3 to dry them because of a chemical smell. This was all because the machine displayed the code “ANTI-FREEZE” and wouldn’t let me continue, so I had to turn it off.",[],9/4/2026,Resolved
7/28/2026,f9401f5c-11cd-4e00-ab74-92575d9cf6b2,a6ad3266-1504-4599-88a6-2f97a300d788,-,Equipment / Maintenance,High,"Today, around 9 p.m., I heard Mrs. María scream. When I went to see how she was, I realized that the rail on the steam tunnel had come off, so I immediately pressed the emergency button and cut off the power.",[],7/28/2026,Resolved
7/16/2026,f9401f5c-11cd-4e00-ab74-92575d9cf6b2,a6ad3266-1504-4599-88a6-2f97a300d788,-,Equipment / Maintenance,High,"Earlier today, at the start of the workday, Lizbeth came over to tell me that Washer #3 wasn't working properly. I got in touch with Brandon, Omar, and Dylan to try to fix it, but we weren't successful because the repair requires technical assistance. ",[],7/16/2026,Resolved
7/15/2026,f9401f5c-11cd-4e00-ab74-92575d9cf6b2,a6ad3266-1504-4599-88a6-2f97a300d788,-,Quality Control,Med,I've left a rack of damaged clothing from Armoire for inspection; it's across from Brandon's office.,[],7/15/2026,Resolved
7/15/2026,f9401f5c-11cd-4e00-ab74-92575d9cf6b2,a6ad3266-1504-4599-88a6-2f97a300d788,-,Safety / Risk,High,"Today Erika asked me if it would be possible for her to wear some kind of sandals tomorrow, Wednesday, because of a medical issue with her foot. I told her I would let her know by noon tomorrow. ",[],7/15/2026,Resolved
6/24/2026,f9401f5c-11cd-4e00-ab74-92575d9cf6b2,a6ad3266-1504-4599-88a6-2f97a300d788,-,Equipment / Maintenance,Med,"At the end of my shift, I saw the girls looking at the concrete repair they had done that day. When I went over to take a look, I noticed that one of them had stepped on the fresh concrete. I tried to see if I could fix it, but the concrete had already hardened. Today, Wednesday, I’ll talk to them to prevent these kinds of accidents, I’ll also notify Brandon, Dylan, and Omar.
",[],6/24/2026,Resolved
5/1/2026,3ef94c1d-6d70-4722-a667-33b08990b381,a6ad3266-1504-4599-88a6-2f97a300d788,-,Staffing / Attendance,Low,Josefina scheduled day off,[],5/1/2026,Resolved
4/13/2026,37f3118a-7132-47da-a008-c5b2976e1bff,a6ad3266-1504-4599-88a6-2f97a300d788,-,Process Deviation,Med,Fedex hasn't taken the pallets and boxes / Jonni reached out to armoire,[],4/13/2026,Resolved
4/1/2026,3ef94c1d-6d70-4722-a667-33b08990b381,a6ad3266-1504-4599-88a6-2f97a300d788,-,Staffing / Attendance,Med,Koko off today for an appointment.,[],4/1/2026,Resolved
2/23/2026,3ef94c1d-6d70-4722-a667-33b08990b381,a6ad3266-1504-4599-88a6-2f97a300d788,-,Equipment / Maintenance,Med,Armoire RFID tunnel not scanning items,[],2/23/2026,Resolved
6/2/2026,3ef94c1d-6d70-4722-a667-33b08990b381,adcd82c2-ddbf-4189-841c-0221ab669922,-,Equipment / Maintenance,Low,Cindy let me know that PPOH numbers were not populating for Abby and Karla. I saw they did not have PPOH asscoited under the Employee Master so I added this. Cindy will check tonight and let me know if this fixed the issue,[],6/2/2026,Resolved
3/10/2026,201912ce-f2b9-445a-8112-9f63229cd484,adcd82c2-ddbf-4189-841c-0221ab669922,-,Training & Skill Development,Med,I had a meeting with Karla ponce,[],3/10/2026,Resolved
3/10/2026,201912ce-f2b9-445a-8112-9f63229cd484,adcd82c2-ddbf-4189-841c-0221ab669922,-,Training & Skill Development,Med,I had a meeting with Mary Turcios.,[],3/10/2026,Resolved
4/13/2026,3ef94c1d-6d70-4722-a667-33b08990b381,c69e905b-76c4-435c-b456-94ea24a77db7,-,Process Deviation,Med,Rush orders for Astra Hotel guest were not detailed with Rush tags and had to run around to find them. One of the rush Sport coats was not tagged and had a missing button that did not make it too the seamstress before they left. Erika luckily knows how to do buttons and was able to get a new one sewn on but if tagged correctly it would have been done in time.,[],4/13/2026,Resolved
3/5/2026,3ef94c1d-6d70-4722-a667-33b08990b381,c69e905b-76c4-435c-b456-94ea24a77db7,-,Training & Skill Development,High,Kareli made a bad remark when I asked her to help at shirts,[],3/5/2026,Resolved
